PRIME -> 9223372036854775783
CALLS -> 100000
STEP      degN      degD      avgTimeNewton     avgTimeRR         mulsNewton    mulsRR        
1         1         1         0.0530166         0.461402          7             15            
2         2         2         0.163881          0.750266          26            36            
3         4         4         0.603636          1.49204           100           102           
4         8         8         2.54223           3.25467           392           330           
5         16        16        10.4786           8.43993           1552          1170          
6         32        32        36.732            25.9533           6176          4386          
7         64        64        127.985           87.8386           24640         16962         
8         128       128       463.798           316.685           98432         66690         
