event,call_index,j,tries,side,extra,dt
rr_map,142,142,1,loop,Maple_Ratrecon,0.00011
rr_cpp_ext,143,"-","-",proc,degU=10;degM=11,3.7e-05
rr_cpp,143,143,1,loop,Ratrecon1_total,0.000333
rr_map,143,143,1,loop,Maple_Ratrecon,0.000107
rr_cpp_ext,144,"-","-",proc,degU=10;degM=11,3.9e-05
rr_cpp,144,144,1,loop,Ratrecon1_total,0.000356
rr_map,144,144,1,loop,Maple_Ratrecon,0.000112
rr_cpp_ext,145,"-","-",proc,degU=10;degM=11,3.7e-05
rr_cpp,145,145,1,loop,Ratrecon1_total,0.000341
rr_map,145,145,1,loop,Maple_Ratrecon,0.000105
rr_cpp_ext,146,"-","-",proc,degU=10;degM=11,3.6e-05
rr_cpp,146,146,1,loop,Ratrecon1_total,0.000328
rr_map,146,146,1,loop,Maple_Ratrecon,0.000102
rr_cpp_ext,147,"-","-",proc,degU=10;degM=11,3.4e-05
rr_cpp,147,147,1,loop,Ratrecon1_total,0.000343
rr_map,147,147,1,loop,Maple_Ratrecon,0.000107
rr_cpp_ext,148,"-","-",proc,degU=10;degM=11,3.5e-05
rr_cpp,148,148,1,loop,Ratrecon1_total,0.000332
rr_map,148,148,1,loop,Maple_Ratrecon,0.00012
rr_cpp_ext,149,"-","-",proc,degU=10;degM=11,3.8e-05
rr_cpp,149,149,1,loop,Ratrecon1_total,0.00036
rr_map,149,149,1,loop,Maple_Ratrecon,0.000112
rr_cpp_ext,150,"-","-",proc,degU=10;degM=11,3.8e-05
rr_cpp,150,150,1,loop,Ratrecon1_total,0.000339
rr_map,150,150,1,loop,Maple_Ratrecon,0.000107
rr_cpp_ext,151,"-","-",proc,degU=10;degM=11,3.6e-05
