event,call_index,j,tries,side,extra,dt
rr_cpp_ext,22,"-","-",proc,degU=10;degM=11,3.7e-05
rr_cpp,22,22,1,loop,Ratrecon1_total,0.000379
rr_map,22,22,1,loop,Maple_Ratrecon,0.00011
rr_cpp_ext,23,"-","-",proc,degU=10;degM=11,3.7e-05
rr_cpp,23,23,1,loop,Ratrecon1_total,0.000469
rr_map,23,23,1,loop,Maple_Ratrecon,0.000118
rr_cpp_ext,24,"-","-",proc,degU=10;degM=11,3.3e-05
rr_cpp,24,24,1,loop,Ratrecon1_total,0.000349
rr_map,24,24,1,loop,Maple_Ratrecon,9.7e-05
rr_cpp_ext,25,"-","-",proc,degU=10;degM=11,3.4e-05
rr_cpp,25,25,1,loop,Ratrecon1_total,0.000337
rr_map,25,25,1,loop,Maple_Ratrecon,0.000115
rr_cpp_ext,26,"-","-",proc,degU=10;degM=11,3.9e-05
rr_cpp,26,26,1,loop,Ratrecon1_total,0.000387
rr_map,26,26,1,loop,Maple_Ratrecon,0.000105
rr_cpp_ext,27,"-","-",proc,degU=10;degM=11,3.4e-05
rr_cpp,27,27,1,loop,Ratrecon1_total,0.000361
rr_map,27,27,1,loop,Maple_Ratrecon,0.000115
rr_cpp_ext,28,"-","-",proc,degU=10;degM=11,4.2e-05
rr_cpp,28,28,1,loop,Ratrecon1_total,0.000349
rr_map,28,28,1,loop,Maple_Ratrecon,0.000105
rr_cpp_ext,29,"-","-",proc,degU=10;degM=11,3.4e-05
rr_cpp,29,29,1,loop,Ratrecon1_total,0.000342
rr_map,29,29,1,loop,Maple_Ratrecon,0.000103
rr_cpp_ext,30,"-","-",proc,degU=10;degM=11,3.7e-05
rr_cpp,30,30,1,loop,Ratrecon1_total,0.000358
rr_map,30,30,1,loop,Maple_Ratrecon,0.000137
rr_cpp_ext,31,"-","-",proc,degU=10;degM=11,3.5e-05
rr_cpp,31,31,1,loop,Ratrecon1_total,0.00034
rr_map,31,31,1,loop,Maple_Ratrecon,0.000112
rr_cpp_ext,32,"-","-",proc,degU=10;degM=11,4.1e-05
rr_cpp,32,32,1,loop,Ratrecon1_total,0.000359
rr_map,32,32,1,loop,Maple_Ratrecon,0.000117
rr_cpp_ext,33,"-","-",proc,degU=10;degM=11,3.3e-05
rr_cpp,33,33,1,loop,Ratrecon1_total,0.000329
rr_map,33,33,1,loop,Maple_Ratrecon,0.000106
rr_cpp_ext,34,"-","-",proc,degU=10;degM=11,3.4e-05
rr_cpp,34,34,1,loop,Ratrecon1_total,0.000315
rr_map,34,34,1,loop,Maple_Ratrecon,9.8e-05
rr_cpp_ext,35,"-","-",proc,degU=10;degM=11,4.1e-05
rr_cpp,35,35,1,loop,Ratrecon1_total,0.000368
rr_map,35,35,1,loop,Maple_Ratrecon,0.000109
rr_cpp_ext,36,"-","-",proc,degU=10;degM=11,3.7e-05
rr_cpp,36,36,1,loop,Ratrecon1_total,0.000351
rr_map,36,36,1,loop,Maple_Ratrecon,0.000118
rr_cpp_ext,37,"-","-",proc,degU=10;degM=11,3.8e-05
rr_cpp,37,37,1,loop,Ratrecon1_total,0.000373
rr_map,37,37,1,loop,Maple_Ratrecon,0.000136
rr_cpp_ext,38,"-","-",proc,degU=10;degM=11,3.9e-05
rr_cpp,38,38,1,loop,Ratrecon1_total,0.000336
rr_map,38,38,1,loop,Maple_Ratrecon,0.000116
rr_cpp_ext,39,"-","-",proc,degU=10;degM=11,3.4e-05
rr_cpp,39,39,1,loop,Ratrecon1_total,0.000322
rr_map,39,39,1,loop,Maple_Ratrecon,0.000109
rr_cpp_ext,40,"-","-",proc,degU=10;degM=11,3.5e-05
rr_cpp,40,40,1,loop,Ratrecon1_total,0.000324
rr_map,40,40,1,loop,Maple_Ratrecon,0.000111
rr_cpp_ext,41,"-","-",proc,degU=10;degM=11,3.8e-05
rr_cpp,41,41,1,loop,Ratrecon1_total,0.00037
rr_map,41,41,1,loop,Maple_Ratrecon,0.000114
rr_cpp_ext,42,"-","-",proc,degU=10;degM=11,3.3e-05
rr_cpp,42,42,1,loop,Ratrecon1_total,0.000347
rr_map,42,42,1,loop,Maple_Ratrecon,0.000105
rr_cpp_ext,43,"-","-",proc,degU=10;degM=11,3.3e-05
rr_cpp,43,43,1,loop,Ratrecon1_total,0.00033
rr_map,43,43,1,loop,Maple_Ratrecon,0.000108
rr_cpp_ext,44,"-","-",proc,degU=10;degM=11,4.1e-05
rr_cpp,44,44,1,loop,Ratrecon1_total,0.000358
rr_map,44,44,1,loop,Maple_Ratrecon,0.000121
rr_cpp_ext,45,"-","-",proc,degU=10;degM=11,3.6e-05
rr_cpp,45,45,1,loop,Ratrecon1_total,0.000351
rr_map,45,45,1,loop,Maple_Ratrecon,0.000117
rr_cpp_ext,46,"-","-",proc,degU=10;degM=11,3.6e-05
rr_cpp,46,46,1,loop,Ratrecon1_total,0.00035
rr_map,46,46,1,loop,Maple_Ratrecon,0.000124
rr_cpp_ext,47,"-","-",proc,degU=10;degM=11,3.4e-05
rr_cpp,47,47,1,loop,Ratrecon1_total,0.000386
rr_map,47,47,1,loop,Maple_Ratrecon,0.000105
rr_cpp_ext,48,"-","-",proc,degU=10;degM=11,3.4e-05
rr_cpp,48,48,1,loop,Ratrecon1_total,0.000339
rr_map,48,48,1,loop,Maple_Ratrecon,0.000116
rr_cpp_ext,49,"-","-",proc,degU=10;degM=11,3.4e-05
rr_cpp,49,49,1,loop,Ratrecon1_total,0.000307
rr_map,49,49,1,loop,Maple_Ratrecon,0.000115
rr_cpp_ext,50,"-","-",proc,degU=10;degM=11,3.6e-05
rr_cpp,50,50,1,loop,Ratrecon1_total,0.000353
rr_map,50,50,1,loop,Maple_Ratrecon,0.000112
rr_cpp_ext,51,"-","-",proc,degU=10;degM=11,3.4e-05
rr_cpp,51,51,1,loop,Ratrecon1_total,0.000369
rr_map,51,51,1,loop,Maple_Ratrecon,0.000116
rr_cpp_ext,52,"-","-",proc,degU=10;degM=11,3.9e-05
rr_cpp,52,52,1,loop,Ratrecon1_total,0.000332
rr_map,52,52,1,loop,Maple_Ratrecon,0.000111
rr_cpp_ext,53,"-","-",proc,degU=10;degM=11,4.5e-05
rr_cpp,53,53,1,loop,Ratrecon1_total,0.000351
rr_map,53,53,1,loop,Maple_Ratrecon,0.000114
rr_cpp_ext,54,"-","-",proc,degU=10;degM=11,3.3e-05
rr_cpp,54,54,1,loop,Ratrecon1_total,0.000336
rr_map,54,54,1,loop,Maple_Ratrecon,0.00011
rr_cpp_ext,55,"-","-",proc,degU=10;degM=11,3.5e-05
rr_cpp,55,55,1,loop,Ratrecon1_total,0.000345
rr_map,55,55,1,loop,Maple_Ratrecon,0.000118
rr_cpp_ext,56,"-","-",proc,degU=10;degM=11,3.4e-05
rr_cpp,56,56,1,loop,Ratrecon1_total,0.000348
rr_map,56,56,1,loop,Maple_Ratrecon,0.000116
rr_cpp_ext,57,"-","-",proc,degU=10;degM=11,2.7e-05
rr_cpp,57,57,1,loop,Ratrecon1_total,0.000263
rr_map,57,57,1,loop,Maple_Ratrecon,9.2e-05
rr_cpp_ext,58,"-","-",proc,degU=10;degM=11,2.5e-05
rr_cpp,58,58,1,loop,Ratrecon1_total,0.000286
rr_map,58,58,1,loop,Maple_Ratrecon,9.2e-05
rr_cpp_ext,59,"-","-",proc,degU=10;degM=11,2.6e-05
rr_cpp,59,59,1,loop,Ratrecon1_total,0.00031
rr_map,59,59,1,loop,Maple_Ratrecon,9.3e-05
rr_cpp_ext,60,"-","-",proc,degU=10;degM=11,4.1e-05
rr_cpp,60,60,1,loop,Ratrecon1_total,0.000362
rr_map,60,60,1,loop,Maple_Ratrecon,0.000109
rr_cpp_ext,61,"-","-",proc,degU=10;degM=11,2.9e-05
rr_cpp,61,61,1,loop,Ratrecon1_total,0.000316
rr_map,61,61,1,loop,Maple_Ratrecon,9.7e-05
rr_cpp_ext,62,"-","-",proc,degU=10;degM=11,3.1e-05
rr_cpp,62,62,1,loop,Ratrecon1_total,0.00029
rr_map,62,62,1,loop,Maple_Ratrecon,0.000104
rr_cpp_ext,63,"-","-",proc,degU=10;degM=11,3e-05
rr_cpp,63,63,1,loop,Ratrecon1_total,0.000273
rr_map,63,63,1,loop,Maple_Ratrecon,0.000107
rr_cpp_ext,64,"-","-",proc,degU=10;degM=11,2.7e-05
rr_cpp,64,64,1,loop,Ratrecon1_total,0.000277
rr_map,64,64,1,loop,Maple_Ratrecon,0.000123
rr_cpp_ext,65,"-","-",proc,degU=10;degM=11,3.3e-05
rr_cpp,65,65,1,loop,Ratrecon1_total,0.000324
rr_map,65,65,1,loop,Maple_Ratrecon,0.000127
rr_cpp_ext,66,"-","-",proc,degU=10;degM=11,3.4e-05
rr_cpp,66,66,1,loop,Ratrecon1_total,0.000296
rr_map,66,66,1,loop,Maple_Ratrecon,0.00011
rr_cpp_ext,67,"-","-",proc,degU=10;degM=11,2.8e-05
rr_cpp,67,67,1,loop,Ratrecon1_total,0.000277
rr_map,67,67,1,loop,Maple_Ratrecon,0.000143
rr_cpp_ext,68,"-","-",proc,degU=10;degM=11,3.1e-05
rr_cpp,68,68,1,loop,Ratrecon1_total,0.000271
rr_map,68,68,1,loop,Maple_Ratrecon,9.8e-05
rr_cpp_ext,69,"-","-",proc,degU=10;degM=11,2.9e-05
rr_cpp,69,69,1,loop,Ratrecon1_total,0.000291
rr_map,69,69,1,loop,Maple_Ratrecon,0.000126
rr_cpp_ext,70,"-","-",proc,degU=10;degM=11,2.6e-05
rr_cpp,70,70,1,loop,Ratrecon1_total,0.000263
rr_map,70,70,1,loop,Maple_Ratrecon,0.000139
rr_cpp_ext,71,"-","-",proc,degU=10;degM=11,6e-05
rr_cpp,71,71,1,loop,Ratrecon1_total,0.000344
rr_map,71,71,1,loop,Maple_Ratrecon,0.000114
rr_cpp_ext,72,"-","-",proc,degU=10;degM=11,3.2e-05
rr_cpp,72,72,1,loop,Ratrecon1_total,0.000342
rr_map,72,72,1,loop,Maple_Ratrecon,0.000163
rr_cpp_ext,73,"-","-",proc,degU=10;degM=11,3e-05
rr_cpp,73,73,1,loop,Ratrecon1_total,0.000322
rr_map,73,73,1,loop,Maple_Ratrecon,0.000127
rr_cpp_ext,74,"-","-",proc,degU=10;degM=11,2.6e-05
rr_cpp,74,74,1,loop,Ratrecon1_total,0.000258
rr_map,74,74,1,loop,Maple_Ratrecon,0.000112
rr_cpp_ext,75,"-","-",proc,degU=10;degM=11,3.2e-05
rr_cpp,75,75,1,loop,Ratrecon1_total,0.000315
rr_map,75,75,1,loop,Maple_Ratrecon,0.000118
rr_cpp_ext,76,"-","-",proc,degU=10;degM=11,3.3e-05
rr_cpp,76,76,1,loop,Ratrecon1_total,0.000326
rr_map,76,76,1,loop,Maple_Ratrecon,0.000145
rr_cpp_ext,77,"-","-",proc,degU=10;degM=11,3e-05
rr_cpp,77,77,1,loop,Ratrecon1_total,0.000333
rr_map,77,77,1,loop,Maple_Ratrecon,0.000172
rr_cpp_ext,78,"-","-",proc,degU=10;degM=11,2.8e-05
rr_cpp,78,78,1,loop,Ratrecon1_total,0.000307
rr_map,78,78,1,loop,Maple_Ratrecon,0.000126
rr_cpp_ext,79,"-","-",proc,degU=10;degM=11,3e-05
rr_cpp,79,79,1,loop,Ratrecon1_total,0.000271
rr_map,79,79,1,loop,Maple_Ratrecon,0.000107
rr_cpp_ext,80,"-","-",proc,degU=10;degM=11,3.5e-05
rr_cpp,80,80,1,loop,Ratrecon1_total,0.00035
rr_map,80,80,1,loop,Maple_Ratrecon,0.000101
rr_cpp_ext,81,"-","-",proc,degU=10;degM=11,3.4e-05
rr_cpp,81,81,1,loop,Ratrecon1_total,0.000341
rr_map,81,81,1,loop,Maple_Ratrecon,0.000109
rr_cpp_ext,82,"-","-",proc,degU=10;degM=11,3.2e-05
rr_cpp,82,82,1,loop,Ratrecon1_total,0.000315
rr_map,82,82,1,loop,Maple_Ratrecon,0.00014
rr_cpp_ext,83,"-","-",proc,degU=10;degM=11,2.7e-05
rr_cpp,83,83,1,loop,Ratrecon1_total,0.000276
rr_map,83,83,1,loop,Maple_Ratrecon,0.000136
rr_cpp_ext,84,"-","-",proc,degU=10;degM=11,2.8e-05
rr_cpp,84,84,1,loop,Ratrecon1_total,0.000266
rr_map,84,84,1,loop,Maple_Ratrecon,0.000115
rr_cpp_ext,85,"-","-",proc,degU=10;degM=11,3.2e-05
rr_cpp,85,85,1,loop,Ratrecon1_total,0.000325
rr_map,85,85,1,loop,Maple_Ratrecon,0.000111
rr_cpp_ext,86,"-","-",proc,degU=10;degM=11,3e-05
rr_cpp,86,86,1,loop,Ratrecon1_total,0.000371
rr_map,86,86,1,loop,Maple_Ratrecon,0.000117
rr_cpp_ext,87,"-","-",proc,degU=10;degM=11,3.1e-05
rr_cpp,87,87,1,loop,Ratrecon1_total,0.000281
rr_map,87,87,1,loop,Maple_Ratrecon,0.000129
rr_cpp_ext,88,"-","-",proc,degU=10;degM=11,2.8e-05
rr_cpp,88,88,1,loop,Ratrecon1_total,0.000277
rr_map,88,88,1,loop,Maple_Ratrecon,9.4e-05
rr_cpp_ext,89,"-","-",proc,degU=10;degM=11,2.6e-05
rr_cpp,89,89,1,loop,Ratrecon1_total,0.000274
rr_map,89,89,1,loop,Maple_Ratrecon,9.3e-05
rr_cpp_ext,90,"-","-",proc,degU=10;degM=11,3.7e-05
rr_cpp,90,90,1,loop,Ratrecon1_total,0.000292
rr_map,90,90,1,loop,Maple_Ratrecon,0.00012
rr_cpp_ext,91,"-","-",proc,degU=10;degM=11,3.3e-05
rr_cpp,91,91,1,loop,Ratrecon1_total,0.000371
