degN     degD     MapleNewton_s        ExtNewton_s          MapleRR_s            ExtRR_s              Input_Conv           Output_Conv         
5        5        0.000032000          0.000002000          0.000039000          0.000003000          0.000020000          0.000013000         
10       10       0.000025000          0.000004000          0.000060000          0.000005000          0.000030000          0.000029000         
20       20       0.000038000          0.000012000          0.000103000          0.000008000          0.000054000          0.000027000         
40       40       0.000106000          0.000037000          0.000194000          0.000026000          0.000119000          0.000037000         
80       80       0.000270000          0.000134000          0.000453000          0.000085000          0.000227000          0.000101000         
160      160      0.000944000          0.000502000          0.001272000          0.000314000          0.000398000          0.000156000         
320      320      0.003575000          0.001934000          0.003842000          0.001203000          0.000823000          0.000290000         
640      640      0.013671000          0.007599000          0.014511000          0.004699000          0.001645000          0.000496000         
