degN     degD     MapleNewton_s        ExtNewton_s          MapleRR_s            ExtRR_s              Input_Conv           Output_Conv         
5        5        0.000031000          0.000002000          0.000039000          0.000004000          0.000019000          0.000014000         
10       10       0.000024000          0.000005000          0.000059000          0.000006000          0.000030000          0.000029000         
20       20       0.000038000          0.000012000          0.000101000          0.000010000          0.000071000          0.000023000         
40       40       0.000087000          0.000038000          0.000191000          0.000027000          0.000121000          0.000041000         
80       80       0.000269000          0.000134000          0.000445000          0.000087000          0.000227000          0.000103000         
160      160      0.000944000          0.000502000          0.001263000          0.000315000          0.000397000          0.000157000         
320      320      0.003574000          0.001935000          0.003819000          0.001204000          0.000820000          0.000294000         
640      640      0.013670000          0.007586000          0.014450000          0.004700000          0.001643000          0.000493000         
